id,UserID,TestID,library,soundQuality,soundSpatialQuality,duration,versionSha,os
646,user_VEuXBvRkSMUyWJoP5oLoa,7xPTUda4KVJWCfij8oIia,resonance,7,8,,084e7eacb2d13b49a1741ad54903bf48750a3464,windows
647,user_VEuXBvRkSMUyWJoP5oLoa,7xPTUda4KVJWCfij8oIia,web-api,2,3,,084e7eacb2d13b49a1741ad54903bf48750a3464,windows
649,user_VEuXBvRkSMUyWJoP5oLoa,7xPTUda4KVJWCfij8oIia,mach1,10,6,,084e7eacb2d13b49a1741ad54903bf48750a3464,windows
650,user_3YP3i4mbMUwnm-o1ztS-B,SOemJH8LfQRsgnQvzj2C9,web-api,7,7,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
651,user_3YP3i4mbMUwnm-o1ztS-B,SOemJH8LfQRsgnQvzj2C9,resonance,5,7,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
652,user_3YP3i4mbMUwnm-o1ztS-B,SOemJH8LfQRsgnQvzj2C9,js-ambisonics,4,8,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
653,user_3YP3i4mbMUwnm-o1ztS-B,SOemJH8LfQRsgnQvzj2C9,mach1,7,3,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
654,user_kDCP6D00lYcp65EJ7TFsa,v665lfy1YRLXV8T3NMhm6,web-api,7,9,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
657,user_kDCP6D00lYcp65EJ7TFsa,v665lfy1YRLXV8T3NMhm6,mach1,6,7,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
655,user_kDCP6D00lYcp65EJ7TFsa,v665lfy1YRLXV8T3NMhm6,resonance,6,6,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
656,user_kDCP6D00lYcp65EJ7TFsa,v665lfy1YRLXV8T3NMhm6,js-ambisonics,5,6,0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,macos
